name,state,state_code,type,degree_length,room_and_board,in_state_tuition,in_state_total,out_of_state_tuition,out_of_state_total,rank,state_name,early_career_pay,mid_career_pay,make_world_better_percent,stem_percent,enrollment
Cossatot Community College of the University of Arkansas,Arkansas,AR,Public,2 Year,,3450,3450,4290,4290,,,,,,,3248.0
Cosumnes River College,California,CA,Public,2 Year,,1416,1416,9546,9546,,,,,,,33193.0
Cottey College,Missouri,MO,Private,4 Year,7700.0,21150,28850,21150,28850,,,,,,,603.0
County College of Morris,New Jersey,NJ,Public,2 Year,,4920,4920,12060,12060,,,,,,,14557.0
Covenant College,Georgia,GA,Private,4 Year,10260.0,34330,44590,34330,44590,24.0,Georgia,44400.0,79400.0,62.0,19.0,1979.0
Cowley County Community College,Kansas,KS,Public,2 Year,5200.0,3000,8200,4710,9910,,,,,,,6252.0
Cox College,Missouri,MO,Private,4 Year,,15510,15510,15510,15510,,,,,,,1550.0
Crafton Hills College,California,CA,Public,2 Year,,1425,1425,10125,10125,,,,,,,12644.0
Craven Community College,North Carolina,NC,Public,2 Year,,2578,2578,8338,8338,,,,,,,5796.0
Creative Center,Nebraska,NE,For Profit,4 Year,,27700,27700,27700,27700,,,,,,,135.0
Creighton University,Nebraska,NE,Private,4 Year,11036.0,39916,50952,39916,50952,2.0,Nebraska,53500.0,95800.0,56.0,9.0,14815.0
Criswell College,Texas,TX,Private,4 Year,,13120,13120,13120,13120,,,,,,,560.0
Crossroads Bible College,Indiana,IN,Private,4 Year,,12400,12400,12400,12400,,,,,,,505.0
Crowder College,Missouri,MO,Public,2 Year,5564.0,3540,9104,5040,10604,,,,,,,10243.0
Crowley's Ridge College,Arkansas,AR,Private,2 Year,6350.0,13000,19350,13000,19350,,,,,,,343.0
Crown College,Minnesota,MN,Private,4 Year,8660.0,26200,34860,26200,34860,,,,,,,
Cuesta College,California,CA,Public,2 Year,,1418,1418,9158,9158,,,,,,,17675.0
Culinary Institute LeNotre,Texas,TX,For Profit,2 Year,,15828,15828,15828,15828,,,,,,,1015.0
Culinary Institute of America,New York,NY,Private,4 Year,11560.0,32720,44280,32720,44280,,,,,,,4916.0
